광물이름,보고서 내용,날짜
유연탄,"중국 연료탄의 에너지원 비중감소에 따른 가격 약보합세 중국 정부는 ‘16년 에너지원 정책에서 석탄 비중을 64.4%에서 62.6%로 낮추고 대신 천연가스 비중을 6%에서 6.2%, 비화석 연료비중을 12%에서 13.2%로 증가시킬 것으로 발표함에 따라 시장가격 약세가 나타남. 한편 중국과 호주와의 FTA가 발효됨에 따라 올해부터 호주탄 수입세가 6%에서 2%로 인하되면서 고열량 호주탄 수입비중이 커지고, 저열량 인니탄의 수입세는 계속 감소될 전망",201601
우라늄,"중국과 한국의 원전 가동개시에 따른 수요개선 전망 중국 Fujian성 Ningde Nuclear Station 4호기와 한국의 신고리 원전3호기가 가동을 개시함. 특히 중국은 향후 3년간 석탄발전소 건설을 금지하고, 원전 확충으로 발전수요를 충당할 전망임. 또한 미국의 SCANA사는 `19년에 원전 2기를 새로 가동하여 ‘21년까지 석탄비중을 줄이고 원전비중을 32%까지 확대시킬 전망이어서 우라늄 장기수요가 개선될 전망임",201601
철광석,"중국 철광석 항구 재고 증가에 따른 가격 보합세 중국의 철강산업 부진으로 주요 항구의 철광석 재고가 늘어나면서 가격 하방리스크가 커지고 있음. 또한 지난주 중국 주식시장의 폭락세로 소폭의 상승세를 이어갔던 철광석 가격의 반등세가 꺾이며, 다시 가격이 하락하는 보합세를 보임",201601
"동,니켈,아연","중국 위안화 평가절하로 비철금속 가격 하락세 최근 미연준의 금리 추가인상 우려와 중국의 주식시장 급락에 따른 위안화 평가절하로 동, 니켈, 아연 등 비철금속의 전반적인 가격하락세가 나타남
  - 동은 중국 물자비축국(State Reserve Bureau)이 15만톤의 동 국내생산분을 비축하기로 결정함에 따라 소폭의 가격상승세가 나타났으나, 중국 주식시장 폭락세로 위안화가 또다시 평가절하되면서 전주대비 2.6%의 가격하락세를 보임",201601
유연탄,"인도, 중국의 석탄 수입둔화에 따른 가격하향세 국제에너지기구(IEA)에 따르면 인도의 ‘15년 12월 석탄수입량은 1,240만톤으로 전년동월대비 34% 감소하였고, 인도 회계연도(4~12월)의 누적수입량으로는 전년대비 15% 감소하였음. 또한 중국 관세청 임시통계에 따르면 ’15년 중국 석탄 수입량이 2억 406만톤으로 전년대비 29.9%나 감소함에 따라 인도가 세계 최대의 석탄수입국으로 올라설 전망임. 이처럼 인도와 중국의 수입수요가 감소함에 따라 유연탄 가격은 하락세로 전환함",201601
우라늄,"나이지리아, 케냐의 원전 신규건설 소식으로 우라늄 가격선방 아프리카의 나이지리아와 케냐는 남아공에 이어서 원자력 발전소 건설을 추진함. 특히 나이지리아는 향후 10년내에 적어도 2기의 원전을 개시할 전망임. 국제유가의 약세가 지속되고, 중국의 경기둔화세가 지속되는 등 세계경기의 불안으로 에너지가격이 전반적으로 하락하고 있음에도 불구하고 우라늄 가격은 전주대비 0.1% 상승하는 등 안정적인 추세를 보여줌",201601
철광석,"중국 철강생산 감소에 따른 철광석 가격약세 중국의 ‘15년 1~11월 철강생산량은 7억 3,838만톤으로 전년동기대비 2.2% 감소하였으며, 이에 따라 철광석 항구재고량이 9,320만톤을 초과하면서 11월 이후 증가세를 지속하고 있음. 중국의 ’15년 12월 철광석 평균 수입단가는 ‘10년 이후 최저치인 39.77달러로 최근의 철광석 시장 위축세를 나타냄",201601
"동,니켈,아연","중국의 경제지표 부진에 따른 가격하락세 최근 비철금속 가격이 저유가와 달러강세로 약세인 가운데 중국의 ‘15년 11월 제조업 이윤이 전년동월대비 1.4%감소하고, 11월의 수출액 및 수입액이 각각 6.8% 및 8.7% 감소하며 교역규모가 축소됨에 따라 비철금속 수요둔화 우려가 심화되면서 가격이 하락세를 보임",201601
유연탄,"중국, 미국 등의 석탄광산 개발 유보정책에 따른 가격상승세 석탄 최대수입국인 인도와 중국의 소비감소세가 나타나고 있는 가운데, 중국과 미국 등에서 석탄광 개발 불허정책이 추진되면서 수급조정이 예상됨에 따라 유연탄의 소폭 가격상승세가 나타남. 미국은 저탄소 경제전환을 위해 국유지 석탄광산 신규개발을 금지하여 30개 이상의 신규프로젝트가 사실상 무산되었으며, 중국은 ‘19년까지 신규 석탄광 개발금지, 소규모 비효율 석탄광 4,300개 폐광을 통한 약 7억톤 감산을 위해 3년간 46억달러 투자의지를 표명함",201601
우라늄,"핀란드 원전 신규건설 등 수요개선 전망에 따른 가격보합세 러시아 국영 Rosatom사는 ‘24년 완공 목표로 핀란드 북부 Hanhikivi 1호기의 원전 건설을 개시하였고, China Nuclear Engineering Group사는 사우디 정부와 냉각반응로 수출계약을 체결하는 등 우라늄 수요개선 전망이 잇따르면서 가격의 보합세가 나타남. 또한 미국 NEI(Nuclear Energy Institute)에 따르면 ’15년 미국의 99개 원전의 발전효율이 91.9%에 달하면서 사상 최고기록 경신을 타진하며 향후 수요개선에 기여할 전망",201601
