날짜,광물이름,보고서 내용
202504,리튬,25.3월 평균가격 : RMB72.17/kg(전월 대비 0.63% 하락)
202504,안티모니,"난연제 업계 안티모니 대체제 모색 ‐안티모니 정광 고갈 및 중국의 수출 규제로 인한 공급 부족으로 세계 난연제 업계가 공급망에서 안티모니 대체제를 모색하려는 움직임을 보임. 안티모니 금속 및 삼산화물 가격은 장기적인 정광 부족으로 상승세를 유지해 왔으며, 2024년 9월 중국이 수출 규제를 실시한 이후 최고가를 경신함. 이로 인해 국제 시장이 더욱 위축되고 중국산 외 원료에 대한 경쟁이 심화됨 ‐벨기에 삼산화안티모니 생산업체 Campine의 최고 경영자 Wim De Vos는 현재 삼산화안티모니의 공급 부족이 20천~25천톤에 달한다고 지적하며 Campine의 생산이 시장의 수요를 어느 정도 충족한다고 하더라도 지속적인 공급 부족 현상이 나타날 것으로 전망함. 업계 관계자들은 삼산화안티모니를 대체할 수 있는 대안에 주목하며 주석산아연 및 붕산아연이 삼산화안티모니를 부분적으로 대체할 수 있으며 이산화주석, 이산화세륨, 수산화마그네슘 및 일부 희토류 또한 대체제로 쓰일 수 있을 것으로 기대함 ‐안티모니 공급량의 80%가 난연제에 집중되어 있음을 고려할 때 대체제 개발은 안티모니 공급업체에 심각한 영향을 미치고 시장 변동성을 심화시킬 것으로 예상됨. Wim De Vos는 올해 말이나 2026년 초까지 안티모니 가격 하락을 예상하며 제련 용량이 확대될 시 가격은 더욱 하락할 것으로 전망함"
202504,니오븀,페로니오븀 3월 평균가는 kg당 U$44.74로 항공 우주 및 방위산업 등 하류 부문의 견고한 수요 및 콩고민주공화국의 오산화니오븀 공급 차질로 전월 대비 0.09% 상승함
202504,니오븀,25.3월 평균가격 : : U$44.74/kg(전월 대비 0.09% 상승)
202504,몰리브덴,"중국, 25. 1~2월 몰리브덴 정광 수입 증가 ‐최근 중국의 몰리브덴 제품 소비자들의 수요 증가로 페로몰리브덴 합금 생산업체들의 정광 수요가 늘어나면서 중국의 몰리브덴 정광 수입량이 증가한 것으로 나타남. 해관총서에 따르면 중국의 25. 1~2월 몰리브덴 미배소 정광 수입량은 10,718톤으로 전년 동기 대비 47% 증가, 배소 정광 수입량은 889톤으로 전년 동기 대비 35% 증가함 ‐특히 중국의 1~2월 칠레산 몰리브덴 정광 수입량은 2,636톤으로 전년 동기 대비 99% 증가함"
202504,몰리브덴,"중국 주요 생산업체 CMOC 및 Yongshan Lithium, 24년 몰리브덴 생산, 판매 감소 ‐중국 다금속 생산업체인 CMOC의 24년 몰리브덴 제품 판매량은 금속 기준 14,964톤으로 전년 대비 4% 감소하였으며, 재고량은 1,247톤으로 전년 대비 53% 증가함. 같은 기간 생산량은 15,396 톤으로 전년 대비 1.5% 감소한 것으로 나타남 ‐중국의 주요 금속 생산업체인 Yongshan Lithium도 24년 페로몰리브덴 생산량이 금속 기준 22,733톤으로 전년 대비 11% 감소했으며, 페로몰리브덴 판매량도 23,287톤으로 전년 대비 7.6%감소함. 같은 기간 동사의 몰리브덴 정광 생산량은 44,821톤으로 전년 대비 11% 감소하였고,판매량도 15,385톤으로 전년 대비 11% 감소함 ‐청정에너지, 조선, 파이프라인 산업의 몰리브덴 함유 철강재 수요 견인에도 불구, 몰리브덴 생산업체 들의 가동률 상승과 안정적인 정광원료 공급으로 판매 경쟁이 심화된 것으로 분석"
202504,몰리브덴,"폴란드 KGHM, 24년 동 생산은 증가, 몰리브덴 생산은 감소 ‐폴란드 광산업체인 KGHM는 미국 Robinson 광산과 칠레 Sierra Gorda 광산의 증산에 힘입어 24년 동 생산량은 증가하였으나, 같은 기간 몰리브덴 생산량은 칠레 Sierra Gorda 광산의 회수율 저하로 인해 3.4백만 파운드로 전년 대비 6% 감소함"
202504,몰리브덴,"칠레 Antofagasta, 25. 1분기 몰리브덴 생산 증가 ‐칠레 메이저 Antofagasta의 25.1분기 몰리브덴 생산량은 3,100톤으로 급광 품위 향상에 힘입어 전년 동기 대비 14.8% 증가함. 동사의 Centinela 광산의 몰리브덴 생산량은 800톤으로 전년 동기 대비 60% 급증하였고, Los Pelambres 광산의 생산량은 2,300톤으로 전년 동기 대비 4.5% 증가함"
202504,몰리브덴,"국제몰리브덴협회(IMOA), 24년 세계 몰리브덴 생산, 소비 모두 전년 대비 증가 ‐국제몰리브덴 협회(IMOA)에 따르면 24년 세계 몰리브덴 생산량은 639.7백만 파운드로 전년 대비 2% 증가함. 세계 최대 생산국인 중국 생산량이 294.8백만 파운드로 전년 대비 5% 증가했으며, 남미와 북미지역이 각각전년 대비 4%, 1% 증가한 것으로 나타남. 그 외 지역 생산량은 55.7백만 파운드로 전년 대비 10% 감소함 ‐24년 세계 몰리브덴 소비량은 648.4백만 파운드로 전년대비 3% 증가함. 세계 최대 소비국인 중국의 소비량은 305백만 파운드로 전년대비 10% 증가했으나, 유럽과 일본은 각각 전년대비 2%, 7% 감소함"
202504,몰리브덴,"몰리브덴 정광(배소한 것) 수입액 비중은 멕시코(U$19,312천, 34.2%), 칠레(U$18,379천, 32.7%), 중국 (U$12,269천, 21.8%) 등 상위 3개국이 88.7%를 차지함"
